id,sourceSheet,system,type,materialA,materialB,facet,supercell,strain,adsorbate,site,method,finalEnergy,finalEnergyValue,energyType,calculatedEnergy,relativeEnergy,formula,trend,conclusion,reference,notes,poscarFile
"Co on pt111-2","Co on pt111","CoOOH_root28_on_Pt111_root39","Metal/oxide/hydroxide interface","CoOOH","Pt","Pt(111)","CoOOH_root28_on_Pt111_root39","TBD","CoOOH on Pt","Interface / registry TBD","vdW-DF, AFM, U=3","-1006.005873 eV",-1006.00587266,"Formation / interface energy TBD","","0.000000 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 2; original path: Co_on_Pt111/CoOOH_root28_on_Pt111_root39/vdW-DF/AFM/U3.0","poscars/CoOOH_root28_on_Pt111_root39.POSCAR"
"Co on pt111-3","Co on pt111","CoOOH_root28_on_Pt111_root39","Metal/oxide/hydroxide interface","CoOOH","Pt","Pt(111)","CoOOH_root28_on_Pt111_root39","TBD","CoOOH on Pt","Interface / registry TBD","vdW-DF, FM, U=3","-1005.856379 eV",-1005.8563794,"Formation / interface energy TBD","","0.149493 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 3; original path: Co_on_Pt111/CoOOH_root28_on_Pt111_root39/vdW-DF/FM/U3.0","poscars/CoOOH_root28_on_Pt111_root39.POSCAR"
"Co on pt111-4","Co on pt111","CoOOH_root27_on_Pt111_root31","Metal/oxide/hydroxide interface","CoOOH","Pt","Pt(111)","CoOOH_root27_on_Pt111_root31","TBD","CoOOH on Pt","Interface / registry TBD","vdW-DF, AFM, U=3","-890.905053 eV",-890.90505256,"Formation / interface energy TBD","","0.000000 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 4; original path: Co_on_Pt111/CoOOH_root27_on_Pt111_root31/vdW-DF/AFM/U3.0","poscars/CoOOH_root27_on_Pt111_root31.POSCAR"
"Co on pt111-5","Co on pt111","CoOOH_root27_on_Pt111_root31","Metal/oxide/hydroxide interface","CoOOH","Pt","Pt(111)","CoOOH_root27_on_Pt111_root31","TBD","CoOOH on Pt","Interface / registry TBD","vdW-DF, FM, U=3","-890.450057 eV",-890.45005717,"Formation / interface energy TBD","","0.454995 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 5; original path: Co_on_Pt111/CoOOH_root27_on_Pt111_root31/vdW-DF/FM/U3.0","poscars/CoOOH_root27_on_Pt111_root31.POSCAR"
"Co on pt111-6","Co on pt111","CoOH_root28_on_Pt111_root39","Metal/oxide/hydroxide interface","CoOH","Pt","Pt(111)","CoOH_root28_on_Pt111_root39","TBD","CoOH on Pt","Interface / registry TBD","vdW-DF, AFM, U=3","-844.416114 eV",-844.41611429,"Formation / interface energy TBD","","0.000000 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 6; original path: Co_on_Pt111/CoOH_root28_on_Pt111_root39/vdW-DF/AFM/U3.0","poscars/CoOH_root28_on_Pt111_root39.POSCAR"
"Co on pt111-7","Co on pt111","CoOH_root28_on_Pt111_root39","Metal/oxide/hydroxide interface","CoOH","Pt","Pt(111)","CoOH_root28_on_Pt111_root39","TBD","CoOH on Pt","Interface / registry TBD","vdW-DF, FM, U=3","-844.415367 eV",-844.41536715,"Formation / interface energy TBD","","0.000747 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 7; original path: Co_on_Pt111/CoOH_root28_on_Pt111_root39/vdW-DF/FM/U3.0/kpt_M221_PREC_High","poscars/CoOH_root28_on_Pt111_root39.POSCAR"
"Co on pt111-8","Co on pt111","CoOH_root28_on_Pt111_root39","Metal/oxide/hydroxide interface","CoOH","Pt","Pt(111)","CoOH_root28_on_Pt111_root39","TBD","CoOH on Pt","Interface / registry TBD","vdW-DF, AFM, U=3","-844.268836 eV",-844.26883627,"Formation / interface energy TBD","","0.147278 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 8; original path: Co_on_Pt111/CoOH_root28_on_Pt111_root39/vdW-DF/AFM/U3.0/kpt_M221_PREC_High","poscars/CoOH_root28_on_Pt111_root39.POSCAR"
"Co on pt111-9","Co on pt111","CoOH_root28_on_Pt111_root39","Metal/oxide/hydroxide interface","CoOH","Pt","Pt(111)","CoOH_root28_on_Pt111_root39","TBD","CoOH on Pt","Interface / registry TBD","vdW-DF, FM, U=3","-844.094294 eV",-844.0942938,"Formation / interface energy TBD","","0.321820 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 9; original path: Co_on_Pt111/CoOH_root28_on_Pt111_root39/vdW-DF/FM/U3.0","poscars/CoOH_root28_on_Pt111_root39.POSCAR"
"Co on pt111-10","Co on pt111","CoOH_root13_on_Pt111_4x4","Metal/oxide/hydroxide interface","CoOH","Pt","Pt(111)","CoOH_root13_on_Pt111_4x4","TBD","CoOH on Pt","Interface / registry TBD","vdW-DF, FM, U=3","-831.490884 eV",-831.49088396,"Formation / interface energy TBD","","0.000000 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 10; original path: Co_on_Pt111/CoOH_root13_on_Pt111_4x4/vdW-DF/FM/U3.0/PREC_Accurate/p8x4/TPB1/2H2O_ad/Co14_15/PBE","poscars/CoOH_root13_on_Pt111_4x4.POSCAR"
"Co on pt111-11","Co on pt111","CoOH_root13_on_Pt111_4x4","Metal/oxide/hydroxide interface","CoOH","Pt","Pt(111)","CoOH_root13_on_Pt111_4x4","TBD","CoOH on Pt","Interface / registry TBD","vdW-DF, FM, U=3","-831.416793 eV",-831.41679342,"Formation / interface energy TBD","","0.074091 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 11; original path: Co_on_Pt111/CoOH_root13_on_Pt111_4x4/vdW-DF/FM/U3.0/PREC_Accurate/p8x4/TPB1/2H2O_ad/Co0_15/PBE","poscars/CoOH_root13_on_Pt111_4x4.POSCAR"
